pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
24933,BL,nse_cm,,GLOBALE,GLOBALE-BL,,GLOBALE-BL,INE0URU01010,,,,GLOBALE TESSILE LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1409184000,,1409184000,0,0,1411603200,1412121600,0,11.64-12.34,0,0,1451498939,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,347282.00,1,0,1234,1164,1,1,1,0,0,1,0,1.06203e+07,0,0,347282,
758200,SG,nse_cm,,627TN29,627TN29-SG,,627TN29-SG,IN3120250193,,,,SDL TN 6.27% 2029,,,1,100,-1,-1,2,-1,NSE,,,1439078400,,1439078400,0,0,0,0,0,95.00-105.00,0,0,1451493502,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
1342,GB,nse_cm,,SGBN28VIII,SGBN28VIII-GB,,SGBN28VIII-GB,IN0020200286,,,,2.5%GOLDBONDS2028SR-VIII,,,1,1,-1,-1,2,-1,NSE,,,1291334400,,1291334400,0,0,0,0,0,12986.36-15872.20,0,0,1451500017,,,,,,,,,,CASH,,,,,517700,,,,0,20,,0.0000,T+1,315513000,0,1,6929.00,1,0,1.58722e+06,1.29864e+06,1,1,1,0,0,1,0,1.57346e+06,0,0,6929,
22490,BL,nse_cm,,ITBETA,ITBETA-BL,,ITBETA-BL,INF789F1AZD8,,,,UTIAMC-ITBETA,,,1,1,-1,-1,2,-1,NSE,,,1391212800,,1391212800,0,0,0,0,0,388.69-412.73,0,0,1451498938,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,5636.00,1,0,41273,38869,1,1,1,0,0,1,0,172362,0,0,5636,
3748,EQ,nse_cm,,WEIZMANIND,WEIZMANIND-EQ,,WEIZMANIND,INE080A01014,,,,WEIZMANN LTD,,,1,1,-1,-1,2,-1,NSE,,,473040000,,484531200,0,0,0,0,1442620800,75.54-113.30,0,0,1451499059,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,506648.00,1,0,11330,7554,1,1,1,0,0,1,0,1.54939e+07,0,0,506648,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
758212,N0,nse_cm,,799HFL27,799HFL27-N0,,799HFL27-N0,INE957N07849,,,,HFL 7.99% 2027 SR 073,,,1,1,-1,-1,2,-1,NSE,,,1439078400,,1439078400,0,0,0,0,0,80000.00-120000.00,0,0,1451493502,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,784.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,24000,0,0,784,
19441,BL,nse_cm,,AHLEAST,AHLEAST-BL,,AHLEAST-BL,INE926K01017,,,,ASIAN HOTELS (EAST) LTD,,,1,1,-1,-1,2,-1,NSE,,,965952000,,965952000,0,0,0,0,1440892800,130.70-138.78,0,0,1451498935,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,565438.00,1,0,13878,13070,1,1,1,0,0,1,0,1.72917e+07,0,0,565438,
17457,SG,nse_cm,,743AP35,743AP35-SG,,743AP35-SG,IN1020230356,,,,SDL AP 7.43% 2035,,,1,100,-1,-1,2,-1,NSE,,,1374969600,,1374969600,0,0,0,0,0,95.00-105.00,0,0,1451493497,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
16685,BL,nse_cm,,PTCIL,PTCIL-BL,,PTCIL-BL,INE596F01018,,,,PTC INDUSTRIES LIMITED,,,100,1,-1,-1,2,-1,NSE,,,1370736000,,1370736000,0,0,0,0,0,18601.00-19751.00,0,0,1451498931,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,5349.00,1,0,1.9751e+06,1.8601e+06,1,1,1,0,0,1,0,1.49841e+07,0,0,5349,
739,EQ,nse_cm,,COROMANDEL,COROMANDEL-EQ,,COROMANDEL,INE169A01031,,,,COROMANDEL INTERNTL. LTD,,,10,1,-1,-1,2,-1,NSE,,,471830400,,486345600,0,0,0,0,1437177600,1891.10-2836.50,0,0,1451499058,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,0,1,42173.00,1,0,283650,189110,1,1,1,0,0,1,0,2.94921e+08,0,0,42173,
